ボケ,ツッコミ
春日みたいなもんですから,一緒にするな
鳥っぽいね,誰が鳥やねん！ベランダで卵産んだろか！
似てる,阿藤快と加藤あいくらい違うよ！
違う,アンルイスと半ライスくらい違うよ ！
今日は足短いですね,いつもや！DNAに刻まれてんねん！
お腹減った,ただのデブか
口臭い,奥歯の方で猫死んでるでしょ
全然違う,共通点二足歩行だけやん
女子力低い,四捨五入したらおすですよ
今日朝起きてな、飯食って、トイレに入ったらこんな太いのが3本も出て（延々と朝からの行動を話す）…,長いわ！帰省ラッシュの大和トンネルの渋滞ぐらい長いわ！
とりあえず脱ぐか,裸族か！
汗がすごい,お前それもう汗やなくて雨やで
ハゲ,毛根の数確認してから言えよ
じゃあもう次行っちゃおう,早ない？？早すぎるやろ
バカタレ,え？怒られすぎちゃう？？
弟首折れてる？？,折れてませんよ！
何がしたいの,全部ひっくるめてこいつ天然なんです
そうゆう日もあるよ,お前そんな日ばっかやんけ
,なんでや
,なんでやねん
,アホか
,バカか
,違うやろ
,女子か
,おかまか
,オネエか
,汚いわ
,切ないわ
,悲しすぎるだろ
,ちゃんとせい
,もうええわ
,待って
,やかましいわ
,聞いたわ
,長いわ
,終わりかい
,おじいさんか
,馬鹿野郎
,何してんねん
,しね
,は
,何
,なんて
,デブか
,ハゲか
,堀口か
,ホモか
,真面目か
,デブー
,セクハラ
,めんどい
,適当か
,てないやん
,じゃかあしいわ
,意味わからん
,きもい
,はらたつわ
,うるさい
,どこが面白い
,すげえ
,なんだよ
,いやだ
,くさい
,もういいわ
,ええ加減にせい
,しっかりせいや
,ちゃんとせいや
,しゃんしゃんせいや
,真面目にやれ
,やりすぎだろ
,それはあかんわ
,あかん
,ひでぇ
,無理
,何考えてんねん
,ほんまかいな
,ふざけんな
,そっちかい
,どういうこと
,えっちだね
,イラつく
,腹たつ
,してないやん
,食ってないやん
,みてないやん
,はよせぇ
,くそう
,そこ笑うなよ
,笑うとこちゃうわ
,うるせえ
,なんかいえや
,しょげるわ
,誰の真似
,まじあほ
,情弱かよ
,ツイ廃かよ
,出会いちゅうかよ
,面白くねぇ
,えぐ
,怖すぎだろ
,やばいで
,子供泣くな
,小学生かよ
,ガキかよ
,天才かよ
,はぁ
,古いわ
,いつのや
,久しぶり聞いたな
,何が言いたいねん
,それツッコミなん
,ちゃんとしてー
,わけわからん
,イケメンかよ
,関係ないわ
,なつい
,ヤベェエナ
,かわいそー
,思ってないやん
,思ってへんやん
,思ってないやろ
,何今の
,さっきいったわ
,電話かよ
,ありなん
,おかしいんじゃない
,聞いてませんでした
,すげーな
,んなわけあるかい
,ドドスコファイヤーやないかい
,嬉しかねぇよ
,嬉しくない
,よくわからんわ
,さぁ
,まぁ
,んー
,はぁ
,フォォ
,ほぉ
,うける
,警察いらん
,ザマァみろ
,同じやん
,それあり
,それかい
,あんた
,いっつもやん
,えむか
,知らんわ
,忘れたわ
,やめさせてもらうわ
,レベル高すぎやろ
,あかんでぇ
,気色わる
,聞いとけよ
,どっちや
,欧米か
,パクってんじゃねぇよ
,真似すんな
,邪魔すんな
,逆に
,違うやろ
,つこっみじゃねぇ
,言うたやん
,お前じゃねぇよ
,ギョギョ！！
,退屈やわ
,眠たくなるわ
,3行でまとめてそれ
,なにそれ、美味しいの？
,お前とは音楽性が違うわ
,それ辛いわ
,泣ける〜
,詳しく教えて
